,weights
2017-08-16 23:59:00+00:00,"coin
btc    0.509234
eth    0.292681
neo    0.064122
ltc    0.039915
bch    0.035777
xrp    0.023005
etc    0.012256
eos    0.009698
iot    0.008255
zec    0.005057
Name: volume, dtype: float64"
2017-08-17 23:59:00+00:00,"coin
btc    0.509234
eth    0.292681
neo    0.064122
ltc    0.039915
bch    0.035777
xrp    0.023005
etc    0.012256
eos    0.009698
iot    0.008255
zec    0.005057
Name: volume, dtype: float64"
2017-08-18 23:59:00+00:00,"coin
btc    0.509234
eth    0.292681
neo    0.064122
ltc    0.039915
bch    0.035777
xrp    0.023005
etc    0.012256
eos    0.009698
iot    0.008255
zec    0.005057
Name: volume, dtype: float64"
2017-08-19 23:59:00+00:00,"coin
btc    0.509234
eth    0.292681
neo    0.064122
ltc    0.039915
bch    0.035777
xrp    0.023005
etc    0.012256
eos    0.009698
iot    0.008255
zec    0.005057
Name: volume, dtype: float64"
2017-08-20 23:59:00+00:00,"coin
btc    0.509234
eth    0.292681
neo    0.064122
ltc    0.039915
bch    0.035777
xrp    0.023005
etc    0.012256
eos    0.009698
iot    0.008255
zec    0.005057
Name: volume, dtype: float64"
2017-08-21 23:59:00+00:00,"coin
btc    0.509234
eth    0.292681
neo    0.064122
ltc    0.039915
bch    0.035777
xrp    0.023005
etc    0.012256
eos    0.009698
iot    0.008255
zec    0.005057
Name: volume, dtype: float64"
2017-08-22 23:59:00+00:00,"coin
btc    0.441407
bch    0.258824
eth    0.186606
xrp    0.027607
ltc    0.027376
neo    0.024722
etc    0.011411
xmr    0.010990
iot    0.006994
zec    0.004063
Name: volume, dtype: float64"
2017-08-23 23:59:00+00:00,"coin
btc    0.441407
bch    0.258824
eth    0.186606
xrp    0.027607
ltc    0.027376
neo    0.024722
etc    0.011411
xmr    0.010990
iot    0.006994
zec    0.004063
Name: volume, dtype: float64"
2017-08-24 23:59:00+00:00,"coin
btc    0.441407
bch    0.258824
eth    0.186606
xrp    0.027607
ltc    0.027376
neo    0.024722
etc    0.011411
xmr    0.010990
iot    0.006994
zec    0.004063
Name: volume, dtype: float64"
2017-08-25 23:59:00+00:00,"coin
btc    0.441407
bch    0.258824
eth    0.186606
xrp    0.027607
ltc    0.027376
neo    0.024722
etc    0.011411
xmr    0.010990
iot    0.006994
zec    0.004063
Name: volume, dtype: float64"
2017-08-26 23:59:00+00:00,"coin
btc    0.441407
bch    0.258824
eth    0.186606
xrp    0.027607
ltc    0.027376
neo    0.024722
etc    0.011411
xmr    0.010990
iot    0.006994
zec    0.004063
Name: volume, dtype: float64"
2017-08-27 23:59:00+00:00,"coin
btc    0.441407
bch    0.258824
eth    0.186606
xrp    0.027607
ltc    0.027376
neo    0.024722
etc    0.011411
xmr    0.010990
iot    0.006994
zec    0.004063
Name: volume, dtype: float64"
2017-08-28 23:59:00+00:00,"coin
btc    0.441407
bch    0.258824
eth    0.186606
xrp    0.027607
ltc    0.027376
neo    0.024722
etc    0.011411
xmr    0.010990
iot    0.006994
zec    0.004063
Name: volume, dtype: float64"
2017-08-29 23:59:00+00:00,"coin
btc    0.408330
xrp    0.188399
eth    0.165710
ltc    0.081000
bch    0.075662
xmr    0.031132
etc    0.025353
neo    0.013140
zec    0.006880
eos    0.004394
Name: volume, dtype: float64"
2017-08-30 23:59:00+00:00,"coin
btc    0.408330
xrp    0.188399
eth    0.165710
ltc    0.081000
bch    0.075662
xmr    0.031132
etc    0.025353
neo    0.013140
zec    0.006880
eos    0.004394
Name: volume, dtype: float64"
2017-08-31 23:59:00+00:00,"coin
btc    0.408330
xrp    0.188399
eth    0.165710
ltc    0.081000
bch    0.075662
xmr    0.031132
etc    0.025353
neo    0.013140
zec    0.006880
eos    0.004394
Name: volume, dtype: float64"
2017-09-01 23:59:00+00:00,"coin
btc    0.408330
xrp    0.188399
eth    0.165710
ltc    0.081000
bch    0.075662
xmr    0.031132
etc    0.025353
neo    0.013140
zec    0.006880
eos    0.004394
Name: volume, dtype: float64"
